"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",16120,5
"Chris Skidmore","@CSkidmoreUK","Conservative","Kingswood",22397,-1
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",12596,-7
"Chris Loder","@chrisloder","Conservative","West Dorset",5307,-2
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",19309,3
"Chris Heaton-Harris ","@chhcalling","Conservative","Daventry",21600,5
"Chris Green","@CGreenUK","Conservative","Bolton West",12184,-22
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",6449,5
"Chris Elmore ","@CPJElmore","Labour","Ogmore",10126,1
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",5264,1
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",69873,11
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",18042,5
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",44665,28
"Cheryl Gillan ","@CherylGillan","Conservative","Chesham and Amersham",13949,9
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",2531,22
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",20490,22
"Charles Walker","@CharlesWalkerMP","Conservative","Broxbourne",11940,-29
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",29985,31
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",28242,29
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",40309,14
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",24757,16
"Caroline Nokes","@carolinenokes","Conservative","Romsey and Southampton North",21346,9
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",484692,542
"Caroline Dinenage ","@cj_dinenage","Conservative","Gosport",21026,4
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",5919,1
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",19963,-2
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",8149,9
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",35338,37
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14744,5
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",2214,8
"Brandon Lewis ","@BrandonLewis","Conservative","Great Yarmouth",57673,24
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",3261178,612
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",12675,-6
"Bob Blackman ","@BobBlackman","Conservative","Harrow East",19047,-4
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",13586,-5
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",31654,2
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",7622,9
"Bernard Jenkin ","@bernardjenkin","Conservative","Harwich and North Essex",36465,-17
"Ben Wallace ","@BWallaceMP","Conservative","Wyre and Preston North",18636,27
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",4201,3
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",7788,2
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",6364,7
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",71531,27
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",33362,-9
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",38961,166
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",21418,-2
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",91910,251
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",25877,9
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",9272,7
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",17238,45
"Antony Higginbotham","@antony_hig","Conservative","Burnley",3127,6
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",4759,3
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",3754,3
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",57642,75
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",21292,48
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13218,-1
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",20530,7
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",15618,11
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",40037,6
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",7289,-1
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",268514,293
"Angela Eagle ","@angelaeagle","Labour","Wallasey",76109,4
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25549,8
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",40881,28
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",4833,6
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",24631,0
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",20153,15
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",20557,-20
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",4608,4
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15588,2
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",49120,10
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",3460,4
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",35468,-20
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",13992,16
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",122388,-39
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61190,-93
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",13867,0
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",4208,13
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",12957,14
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46066,10
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",13938,6
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",39775,88
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",20329,-17
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",28328,13
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",54181,4
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",13763,1
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",4974,-1
"Alex Sobel","@alexsobel","Labour","Leeds North West",23025,12
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",6983,0
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",6609,8
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",20999,11
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",12509,12
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",4084,9
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",16001,1
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10245,1
"Alan Mak ","@AlanMakMP","Conservative","Havant",9745,11
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",5576,3
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12131,-2
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",26742,5
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",16387,-10
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",14840,19
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",4230,3
